,Business Id,Account name,Account Full Name,Account type
53,2,Automobile,Automobile,Expenses
54,2,Fuel,Fuel,Expenses
55,2,Workers Compensation,Workers Compensation,Expenses
56,2,Job Expenses,Job Expenses,Expenses
57,2,Cost of Labor,Cost of Labor,Expenses
58,2,Installation,Installation,Expenses
59,2,Maintenance and Repairs,Maintenance and Repairs,Expenses
60,2,Equipment Repairs,Equipment Repairs,Expenses
61,2,Gas and Electric,Gas and Electric,Expenses
62,2,Telephone,Telephone,Expenses
63,2,Purchases,Purchases,Expenses
64,2,Bars and nightclubs,Bars and nightclubs,Income
65,2,Hotels and motel services,Hotels and motel services,Income
66,2,Full-service restaurants,Full-service restaurants,Income
67,2,Design income,Design income,Income
68,2,Other Income,Other Income,Income
69,2,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
70,2,Billable Expense Income,Billable Expense Income,Income
71,2,Discounts given,Discounts given,Income
72,2,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
73,2,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
74,2,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
75,2,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
76,2,Services,Services,Income
77,2,Retained Earnings,Retained Earnings,Equity
78,2,Prepaid Expenses,Prepaid Expenses,Other Current Assets
79,2,Undeposited Funds,Undeposited Funds,Other Current Assets
80,2,Equipment Rental,Equipment Rental,Expenses
81,2,Fees Billed,Fees Billed,Income
82,2,Refunds-Allowances,Refunds-Allowances,Income
83,2,Job Materials,Job Materials,Expenses
84,2,Decks and Patios,Decks and Patios,Expenses
85,2,Other accommodation services,Other accommodation services,Income
86,2,Street vending locations,Street vending locations,Income
87,2,Other food services,Other food services,Income
88,2,Permits,Permits,Expenses
89,2,Accounting,Accounting,Expenses
90,3,Bookkeeper,Bookkeeper,Expenses
91,3,Lawyer,Lawyer,Expenses
92,3,Maintenance and Repair,Maintenance and Repair,Expenses
93,3,Building Repairs,Building Repairs,Expenses
94,3,Computer Repairs,Computer Repairs,Expenses
95,3,Advertising,Advertising,Expenses
96,3,Bank Charges,Bank Charges,Expenses
97,3,Commissions & fees,Commissions & fees,Expenses
98,3,Dues & Subscriptions,Dues & Subscriptions,Expenses
99,3,Insurance,Insurance,Expenses
100,3,Legal & Professional Fees,Legal & Professional Fees,Expenses
101,3,Meals and Entertainment,Meals and Entertainment,Expenses
102,3,Miscellaneous,Miscellaneous,Other Expense
103,3,Office Expenses,Office Expenses,Expenses
104,3,Promotional,Promotional,Expenses
105,3,Rent or Lease,Rent or Lease,Expenses
106,3,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
107,3,Stationery & Printing,Stationery & Printing,Expenses
108,3,Supplies,Supplies,Expenses
109,3,Taxes & Licenses,Taxes & Licenses,Expenses
110,3,Travel,Travel,Expenses
111,3,Travel Meals,Travel Meals,Expenses
112,3,Utilities,Utilities,Expenses
113,3,Interest Earned,Interest Earned,Other Income
114,3,Other Portfolio Income,Other Portfolio Income,Other Income
115,3,Penalties & Settlements,Penalties & Settlements,Other Expense
116,3,Disposal Fees,Disposal Fees,Expenses
117,3,Equipment Rental,Equipment Rental,Expenses
118,3,Uncategorized Income,Uncategorized Income,Income
119,3,Uncategorized Expense,Uncategorized Expense,Expenses
120,3,Uncategorized Asset,Uncategorized Asset,Other Current Assets
121,3,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
122,3,Business services centers,Business services centers,Income
123,3,Checking,Checking,Bank
124,3,Savings,Savings,Bank
125,3,Truck,Truck,Fixed Assets
126,3,Original Cost,Original Cost,Fixed Assets
127,3,Depreciation,Depreciation,Fixed Assets
128,3,Depreciation,Depreciation,Other Expense
129,3,Mastercard,Mastercard,Credit Card
130,3,Visa,Visa,Credit Card
131,3,Loan Payable,Loan Payable,Other Current Liabilities
132,3,Notes Payable,Notes Payable,Long Term Liabilities
133,3,Blueprinting services,Blueprinting services,Income
134,3,Job Materials,Job Materials,Income
135,3,Decks and Patios,Decks and Patios,Income
136,3,Private mailbox rental services,Private mailbox rental services,Income
137,3,Document copying services,Document copying services,Income
138,3,Reprographic services,Reprographic services,Income
139,3,Labor,Labor,Income
140,3,Installation,Installation,Income
141,3,Maintenance and Repair,Maintenance and Repair,Income
142,3,Copy centers,Copy centers,Income
143,3,Automobile,Automobile,Expenses
144,3,Fuel,Fuel,Expenses
145,3,Workers Compensation,Workers Compensation,Expenses
146,3,Job Expenses,Job Expenses,Expenses
147,3,Cost of Labor,Cost of Labor,Expenses
148,3,Installation,Installation,Expenses
149,3,Maintenance and Repairs,Maintenance and Repairs,Expenses
150,3,Equipment Repairs,Equipment Repairs,Expenses
151,3,Gas and Electric,Gas and Electric,Expenses
152,3,Telephone,Telephone,Expenses
153,3,Purchases,Purchases,Expenses
154,3,Photocopying services,Photocopying services,Income
155,3,Private mailbox rental centers,Private mailbox rental centers,Income
156,3,Private parcel mailing services,Private parcel mailing services,Income
157,3,Design income,Design income,Income
158,3,Other Income,Other Income,Income
159,3,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
160,3,Billable Expense Income,Billable Expense Income,Income
161,3,Discounts given,Discounts given,Income
162,3,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
163,3,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
164,3,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
165,3,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
166,3,Services,Services,Income
167,3,Retained Earnings,Retained Earnings,Equity
168,3,Prepaid Expenses,Prepaid Expenses,Other Current Assets
169,3,Undeposited Funds,Undeposited Funds,Other Current Assets
170,3,Equipment Rental,Equipment Rental,Expenses
171,3,Fees Billed,Fees Billed,Income
172,3,Refunds-Allowances,Refunds-Allowances,Income
173,3,Job Materials,Job Materials,Expenses
174,3,Decks and Patios,Decks and Patios,Expenses
175,3,Private parcel mailing centers,Private parcel mailing centers,Income
176,3,Document copying services,Document copying services,Income
177,3,Reprographic services,Reprographic services,Income
178,3,Permits,Permits,Expenses
179,3,Accounting,Accounting,Expenses
180,4,Bookkeeper,Bookkeeper,Expenses
181,4,Lawyer,Lawyer,Expenses
182,4,Maintenance and Repair,Maintenance and Repair,Expenses
183,4,Building Repairs,Building Repairs,Expenses
184,4,Computer Repairs,Computer Repairs,Expenses
185,4,Advertising,Advertising,Expenses
186,4,Bank Charges,Bank Charges,Expenses
187,4,Commissions & fees,Commissions & fees,Expenses
188,4,Dues & Subscriptions,Dues & Subscriptions,Expenses
189,4,Insurance,Insurance,Expenses
190,4,Legal & Professional Fees,Legal & Professional Fees,Expenses
191,4,Meals and Entertainment,Meals and Entertainment,Expenses
192,4,Miscellaneous,Miscellaneous,Other Expense
193,4,Office Expenses,Office Expenses,Expenses
194,4,Promotional,Promotional,Expenses
195,4,Rent or Lease,Rent or Lease,Expenses
196,4,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
197,4,Stationery & Printing,Stationery & Printing,Expenses
198,4,Supplies,Supplies,Expenses
199,4,Taxes & Licenses,Taxes & Licenses,Expenses
200,4,Travel,Travel,Expenses
201,4,Travel Meals,Travel Meals,Expenses
202,4,Utilities,Utilities,Expenses
203,4,Interest Earned,Interest Earned,Other Income
204,4,Other Portfolio Income,Other Portfolio Income,Other Income
205,4,Penalties & Settlements,Penalties & Settlements,Other Expense
206,4,Disposal Fees,Disposal Fees,Expenses
207,4,Equipment Rental,Equipment Rental,Expenses
208,4,Uncategorized Income,Uncategorized Income,Income
209,4,Uncategorized Expense,Uncategorized Expense,Expenses
210,4,Uncategorized Asset,Uncategorized Asset,Other Current Assets
211,4,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
212,4,Shearing services,Shearing services,Income
213,4,Checking,Checking,Bank
214,4,Savings,Savings,Bank
215,4,Truck,Truck,Fixed Assets
216,4,Original Cost,Original Cost,Fixed Assets
217,4,Depreciation,Depreciation,Fixed Assets
218,4,Depreciation,Depreciation,Other Expense
219,4,Mastercard,Mastercard,Credit Card
220,4,Visa,Visa,Credit Card
221,4,Loan Payable,Loan Payable,Other Current Liabilities
222,4,Notes Payable,Notes Payable,Long Term Liabilities
223,4,Miscellaneous services,Miscellaneous services,Income
224,4,Job Materials,Job Materials,Income
225,4,Decks and Patios,Decks and Patios,Income
226,4,Dairy support services,Dairy support services,Income
227,4,Farrier services,Farrier services,Income
228,4,Other Services,Other Services,Income
229,4,Labor,Labor,Income
230,4,Installation,Installation,Income
231,4,Maintenance and Repair,Maintenance and Repair,Income
232,4,Spraying services,Spraying services,Income
233,4,Automobile,Automobile,Expenses
234,4,Fuel,Fuel,Expenses
235,4,Workers Compensation,Workers Compensation,Expenses
236,4,Job Expenses,Job Expenses,Expenses
237,4,Cost of Labor,Cost of Labor,Expenses
238,4,Installation,Installation,Expenses
239,4,Maintenance and Repairs,Maintenance and Repairs,Expenses
240,4,Equipment Repairs,Equipment Repairs,Expenses
241,4,Gas and Electric,Gas and Electric,Expenses
242,4,Telephone,Telephone,Expenses
243,4,Purchases,Purchases,Expenses
244,4,Rental Services,Rental Services,Income
245,4,Breeding services,Breeding services,Income
246,4,Livestock health services,Livestock health services,Income
247,4,Design income,Design income,Income
248,4,Other Income,Other Income,Income
249,4,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
250,4,Billable Expense Income,Billable Expense Income,Income
251,4,Discounts given,Discounts given,Income
252,4,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
253,4,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
254,4,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
255,4,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
256,4,Services,Services,Income
257,4,Retained Earnings,Retained Earnings,Equity
258,4,Prepaid Expenses,Prepaid Expenses,Other Current Assets
259,4,Undeposited Funds,Undeposited Funds,Other Current Assets
260,4,Equipment Rental,Equipment Rental,Expenses
261,4,Fees Billed,Fees Billed,Income
262,4,Refunds-Allowances,Refunds-Allowances,Income
263,4,Job Materials,Job Materials,Expenses
264,4,Decks and Patios,Decks and Patios,Expenses
265,4,Boarding services,Boarding services,Income
266,4,Farrier services,Farrier services,Income
267,4,Other Services,Other Services,Income
268,4,Permits,Permits,Expenses
269,4,Accounting,Accounting,Expenses
270,5,Bookkeeper,Bookkeeper,Expenses
271,5,Lawyer,Lawyer,Expenses
272,5,Maintenance and Repair,Maintenance and Repair,Expenses
273,5,Building Repairs,Building Repairs,Expenses
274,5,Computer Repairs,Computer Repairs,Expenses
275,5,Advertising,Advertising,Expenses
276,5,Bank Charges,Bank Charges,Expenses
277,5,Commissions & fees,Commissions & fees,Expenses
278,5,Dues & Subscriptions,Dues & Subscriptions,Expenses
279,5,Insurance,Insurance,Expenses
280,5,Legal & Professional Fees,Legal & Professional Fees,Expenses
281,5,Meals and Entertainment,Meals and Entertainment,Expenses
282,5,Miscellaneous,Miscellaneous,Other Expense
283,5,Office Expenses,Office Expenses,Expenses
284,5,Promotional,Promotional,Expenses
285,5,Rent or Lease,Rent or Lease,Expenses
286,5,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
287,5,Stationery & Printing,Stationery & Printing,Expenses
288,5,Supplies,Supplies,Expenses
289,5,Taxes & Licenses,Taxes & Licenses,Expenses
290,5,Travel,Travel,Expenses
291,5,Travel Meals,Travel Meals,Expenses
292,5,Utilities,Utilities,Expenses
293,5,Interest Earned,Interest Earned,Other Income
294,5,Other Portfolio Income,Other Portfolio Income,Other Income
295,5,Penalties & Settlements,Penalties & Settlements,Other Expense
296,5,Disposal Fees,Disposal Fees,Expenses
297,5,Equipment Rental,Equipment Rental,Expenses
298,5,Uncategorized Income,Uncategorized Income,Income
299,5,Uncategorized Expense,Uncategorized Expense,Expenses
300,5,Uncategorized Asset,Uncategorized Asset,Other Current Assets
301,5,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
302,5,Amusement and recreation services,Amusement and recreation services,Income
303,5,Checking,Checking,Bank
304,5,Savings,Savings,Bank
305,5,Truck,Truck,Fixed Assets
306,5,Original Cost,Original Cost,Fixed Assets
307,5,Depreciation,Depreciation,Fixed Assets
308,5,Depreciation,Depreciation,Other Expense
309,5,Mastercard,Mastercard,Credit Card
310,5,Visa,Visa,Credit Card
311,5,Loan Payable,Loan Payable,Other Current Liabilities
312,5,Notes Payable,Notes Payable,Long Term Liabilities
313,5,Memberships,Memberships,Income
314,5,Job Materials,Job Materials,Income
315,5,Decks and Patios,Decks and Patios,Income
316,5,golf instruction services,golf instruction services,Income
317,5,Registration for tournaments and matches,Registration for tournaments and matches,Income
318,5,Other Services,Other Services,Income
319,5,Labor,Labor,Income
320,5,Installation,Installation,Income
321,5,Maintenance and Repair,Maintenance and Repair,Income
322,5,Coin operated games and rides,Coin operated games and rides,Income
323,5,Automobile,Automobile,Expenses
324,5,Fuel,Fuel,Expenses
325,5,Workers Compensation,Workers Compensation,Expenses
326,5,Job Expenses,Job Expenses,Expenses
327,5,Cost of Labor,Cost of Labor,Expenses
328,5,Installation,Installation,Expenses
329,5,Maintenance and Repairs,Maintenance and Repairs,Expenses
330,5,Equipment Repairs,Equipment Repairs,Expenses
331,5,Gas and Electric,Gas and Electric,Expenses
332,5,Telephone,Telephone,Expenses
333,5,Purchases,Purchases,Expenses
334,5,Amateur sports teams and club servcies,Amateur sports teams and club servcies,Income
335,5,golf equipment rental services,golf equipment rental services,Income
336,5,golf courses and country clubs,golf courses and country clubs,Income
337,5,Design income,Design income,Income
338,5,Other Income,Other Income,Income
339,5,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
340,5,Billable Expense Income,Billable Expense Income,Income
341,5,Discounts given,Discounts given,Income
342,5,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
343,5,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
344,5,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
345,5,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
346,5,Services,Services,Income
347,5,Retained Earnings,Retained Earnings,Equity
348,5,Prepaid Expenses,Prepaid Expenses,Other Current Assets
349,5,Undeposited Funds,Undeposited Funds,Other Current Assets
350,5,Equipment Rental,Equipment Rental,Expenses
351,5,Fees Billed,Fees Billed,Income
352,5,Refunds-Allowances,Refunds-Allowances,Income
353,5,Job Materials,Job Materials,Expenses
354,5,Decks and Patios,Decks and Patios,Expenses
355,5,food and beverage services,food and beverage services,Income
356,5,Registration for tournaments and matches,Registration for tournaments and matches,Income
357,5,Other Services,Other Services,Income
358,5,Permits,Permits,Expenses
359,5,Accounting,Accounting,Expenses
360,6,Bookkeeper,Bookkeeper,Expenses
361,6,Lawyer,Lawyer,Expenses
362,6,Maintenance and Repair,Maintenance and Repair,Expenses
363,6,Building Repairs,Building Repairs,Expenses
364,6,Computer Repairs,Computer Repairs,Expenses
365,6,Advertising,Advertising,Expenses
366,6,Bank Charges,Bank Charges,Expenses
367,6,Commissions & fees,Commissions & fees,Expenses
368,6,Dues & Subscriptions,Dues & Subscriptions,Expenses
369,6,Insurance,Insurance,Expenses
370,6,Legal & Professional Fees,Legal & Professional Fees,Expenses
371,6,Meals and Entertainment,Meals and Entertainment,Expenses
372,6,Miscellaneous,Miscellaneous,Other Expense
373,6,Office Expenses,Office Expenses,Expenses
374,6,Promotional,Promotional,Expenses
375,6,Rent or Lease,Rent or Lease,Expenses
376,6,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
377,6,Stationery & Printing,Stationery & Printing,Expenses
378,6,Supplies,Supplies,Expenses
379,6,Taxes & Licenses,Taxes & Licenses,Expenses
380,6,Travel,Travel,Expenses
381,6,Travel Meals,Travel Meals,Expenses
382,6,Utilities,Utilities,Expenses
383,6,Interest Earned,Interest Earned,Other Income
384,6,Other Portfolio Income,Other Portfolio Income,Other Income
385,6,Penalties & Settlements,Penalties & Settlements,Other Expense
386,6,Disposal Fees,Disposal Fees,Expenses
387,6,Equipment Rental,Equipment Rental,Expenses
388,6,Uncategorized Income,Uncategorized Income,Income
389,6,Uncategorized Expense,Uncategorized Expense,Expenses
390,6,Uncategorized Asset,Uncategorized Asset,Other Current Assets
391,6,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
392,6,Construction management of multifamily building,Construction management of multifamily building,Income
393,6,Checking,Checking,Bank
394,6,Savings,Savings,Bank
395,6,Truck,Truck,Fixed Assets
396,6,Original Cost,Original Cost,Fixed Assets
397,6,Depreciation,Depreciation,Fixed Assets
398,6,Depreciation,Depreciation,Other Expense
399,6,Mastercard,Mastercard,Credit Card
400,6,Visa,Visa,Credit Card
401,6,Loan Payable,Loan Payable,Other Current Liabilities
402,6,Notes Payable,Notes Payable,Long Term Liabilities
403,6,Constructing multiunit special-needs complexes,Constructing multiunit special-needs complexes,Income
404,6,Job Materials,Job Materials,Income
405,6,Decks and Patios,Decks and Patios,Income
406,6,Constructing apartment complexes,Constructing apartment complexes,Income
407,6,General contracting,General contracting,Income
408,6,Constructing bangalow,Constructing bangalow,Income
409,6,Labor,Labor,Income
410,6,Installation,Installation,Income
411,6,Maintenance and Repair,Maintenance and Repair,Income
412,6,Constructing duplexes,Constructing duplexes,Income
413,6,Automobile,Automobile,Expenses
414,6,Fuel,Fuel,Expenses
415,6,Workers Compensation,Workers Compensation,Expenses
416,6,Job Expenses,Job Expenses,Expenses
417,6,Cost of Labor,Cost of Labor,Expenses
418,6,Installation,Installation,Expenses
419,6,Maintenance and Repairs,Maintenance and Repairs,Expenses
420,6,Equipment Repairs,Equipment Repairs,Expenses
421,6,Gas and Electric,Gas and Electric,Expenses
422,6,Telephone,Telephone,Expenses
423,6,Purchases,Purchases,Expenses
424,6,Other construction activities,Other construction activities,Income
425,6,Constructing multifamily residential,Constructing multifamily residential,Income
426,6,Constructing townhouses,Constructing townhouses,Income
427,6,Design income,Design income,Income
428,6,Other Income,Other Income,Income
429,6,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
430,6,Billable Expense Income,Billable Expense Income,Income
431,6,Discounts given,Discounts given,Income
432,6,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
433,6,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
434,6,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
435,6,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
436,6,Services,Services,Income
437,6,Retained Earnings,Retained Earnings,Equity
438,6,Prepaid Expenses,Prepaid Expenses,Other Current Assets
439,6,Undeposited Funds,Undeposited Funds,Other Current Assets
440,6,Equipment Rental,Equipment Rental,Expenses
441,6,Fees Billed,Fees Billed,Income
442,6,Refunds-Allowances,Refunds-Allowances,Income
443,6,Job Materials,Job Materials,Expenses
444,6,Decks and Patios,Decks and Patios,Expenses
445,6,Constructing condominiums,Constructing condominiums,Income
446,6,General contracting,General contracting,Income
447,6,Constructing bangalow,Constructing bangalow,Income
448,6,Permits,Permits,Expenses
449,6,Accounting,Accounting,Expenses
450,7,Bookkeeper,Bookkeeper,Expenses
451,7,Lawyer,Lawyer,Expenses
452,7,Maintenance and Repair,Maintenance and Repair,Expenses
453,7,Building Repairs,Building Repairs,Expenses
454,7,Computer Repairs,Computer Repairs,Expenses
455,7,Advertising,Advertising,Expenses
456,7,Bank Charges,Bank Charges,Expenses
457,7,Commissions & fees,Commissions & fees,Expenses
458,7,Dues & Subscriptions,Dues & Subscriptions,Expenses
459,7,Insurance,Insurance,Expenses
460,7,Legal & Professional Fees,Legal & Professional Fees,Expenses
461,7,Meals and Entertainment,Meals and Entertainment,Expenses
462,7,Miscellaneous,Miscellaneous,Other Expense
463,7,Office Expenses,Office Expenses,Expenses
464,7,Promotional,Promotional,Expenses
465,7,Rent or Lease,Rent or Lease,Expenses
466,7,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
467,7,Stationery & Printing,Stationery & Printing,Expenses
468,7,Supplies,Supplies,Expenses
469,7,Taxes & Licenses,Taxes & Licenses,Expenses
470,7,Travel,Travel,Expenses
471,7,Travel Meals,Travel Meals,Expenses
472,7,Utilities,Utilities,Expenses
473,7,Interest Earned,Interest Earned,Other Income
474,7,Other Portfolio Income,Other Portfolio Income,Other Income
475,7,Penalties & Settlements,Penalties & Settlements,Other Expense
476,7,Disposal Fees,Disposal Fees,Expenses
477,7,Equipment Rental,Equipment Rental,Expenses
478,7,Uncategorized Income,Uncategorized Income,Income
479,7,Uncategorized Expense,Uncategorized Expense,Expenses
480,7,Uncategorized Asset,Uncategorized Asset,Other Current Assets
481,7,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
482,7,Providing classes in stenography and court reporting,Providing classes in stenography and court reporting,Income
483,7,Checking,Checking,Bank
484,7,Savings,Savings,Bank
485,7,Truck,Truck,Fixed Assets
486,7,Original Cost,Original Cost,Fixed Assets
487,7,Depreciation,Depreciation,Fixed Assets
488,7,Depreciation,Depreciation,Other Expense
489,7,Mastercard,Mastercard,Credit Card
490,7,Visa,Visa,Credit Card
491,7,Loan Payable,Loan Payable,Other Current Liabilities
492,7,Notes Payable,Notes Payable,Long Term Liabilities
493,7,Basic office and secretarial skills training,Basic office and secretarial skills training,Income
494,7,Job Materials,Job Materials,Income
495,7,Decks and Patios,Decks and Patios,Income
496,7,Providing courses in computer programming,Providing courses in computer programming,Income
497,7,Computer Repair and Maintainenance,Computer Repair and Maintainenance,Income
498,7,Artificial Intelligence Courses,Artificial Intelligence Courses,Income
499,7,Labor,Labor,Income
500,7,Installation,Installation,Income
501,7,Maintenance and Repair,Maintenance and Repair,Income
502,7,Providing courses through business schools,Providing courses through business schools,Income
503,7,Automobile,Automobile,Expenses
504,7,Fuel,Fuel,Expenses
505,7,Workers Compensation,Workers Compensation,Expenses
506,7,Job Expenses,Job Expenses,Expenses
507,7,Cost of Labor,Cost of Labor,Expenses
508,7,Installation,Installation,Expenses
509,7,Maintenance and Repairs,Maintenance and Repairs,Expenses
510,7,Equipment Repairs,Equipment Repairs,Expenses
511,7,Gas and Electric,Gas and Electric,Expenses
512,7,Telephone,Telephone,Expenses
513,7,Purchases,Purchases,Expenses
514,7,Ethical Hacking Training,Ethical Hacking Training,Income
515,7,Computer operation training,Computer operation training,Income
516,7,Local area network management training,Local area network management training,Income
517,7,Design income,Design income,Income
518,7,Other Income,Other Income,Income
519,7,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
520,7,Billable Expense Income,Billable Expense Income,Income
521,7,Discounts given,Discounts given,Income
522,7,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
523,7,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
524,7,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
525,7,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
526,7,Services,Services,Income
527,7,Retained Earnings,Retained Earnings,Equity
528,7,Prepaid Expenses,Prepaid Expenses,Other Current Assets
529,7,Undeposited Funds,Undeposited Funds,Other Current Assets
530,7,Equipment Rental,Equipment Rental,Expenses
531,7,Fees Billed,Fees Billed,Income
532,7,Refunds-Allowances,Refunds-Allowances,Income
533,7,Job Materials,Job Materials,Expenses
534,7,Decks and Patios,Decks and Patios,Expenses
535,7,Computer software and software application training,Computer software and software application training,Income
536,7,Computer Repair and Maintainenance,Computer Repair and Maintainenance,Income
537,7,Artificial Intelligence Courses,Artificial Intelligence Courses,Income
538,7,Permits,Permits,Expenses
539,7,Accounting,Accounting,Expenses
540,8,Bookkeeper,Bookkeeper,Expenses
541,8,Lawyer,Lawyer,Expenses
542,8,Maintenance and Repair,Maintenance and Repair,Expenses
543,8,Building Repairs,Building Repairs,Expenses
544,8,Computer Repairs,Computer Repairs,Expenses
545,8,Advertising,Advertising,Expenses
546,8,Bank Charges,Bank Charges,Expenses
547,8,Commissions & fees,Commissions & fees,Expenses
548,8,Dues & Subscriptions,Dues & Subscriptions,Expenses
549,8,Insurance,Insurance,Expenses
550,8,Legal & Professional Fees,Legal & Professional Fees,Expenses
551,8,Meals and Entertainment,Meals and Entertainment,Expenses
552,8,Miscellaneous,Miscellaneous,Other Expense
553,8,Office Expenses,Office Expenses,Expenses
554,8,Promotional,Promotional,Expenses
555,8,Rent or Lease,Rent or Lease,Expenses
556,8,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
557,8,Stationery & Printing,Stationery & Printing,Expenses
558,8,Supplies,Supplies,Expenses
559,8,Taxes & Licenses,Taxes & Licenses,Expenses
560,8,Travel,Travel,Expenses
561,8,Travel Meals,Travel Meals,Expenses
562,8,Utilities,Utilities,Expenses
563,8,Interest Earned,Interest Earned,Other Income
564,8,Other Portfolio Income,Other Portfolio Income,Other Income
565,8,Penalties & Settlements,Penalties & Settlements,Other Expense
