scenario_id,anomaly_type,magnitude,dimension,date_start,date_end,affected_rows,ground_truth_value,expected_detection,verified
A2_level_143_30pct_Software Dev,level_shift,0.3,product=Software Dev,2023-07-01,2024-12-31,49,8307891.47,TRUE,TRUE
A2_level_144_30pct_Cloud Services,level_shift,0.3,product=Cloud Services,2023-07-01,2024-12-31,21,3305688.95,TRUE,TRUE
A3_trend_145_0.015_North,trend_break,0.015,region=North,2023-06-01,2024-12-31,22,2843505.44,TRUE,TRUE
A3_trend_146_0.015_Central,trend_break,0.015,region=Central,2023-06-01,2024-12-31,34,3228977.51,TRUE,TRUE
A3_trend_147_0.015_Software Dev,trend_break,0.015,product=Software Dev,2023-06-01,2024-12-31,26,3346335.86,TRUE,TRUE
A3_trend_148_0.015_Cloud Services,trend_break,0.015,product=Cloud Services,2023-06-01,2024-12-31,21,2459769.63,TRUE,TRUE
A3_trend_149_0.0_North,trend_break,0.0,region=North,2023-06-01,2024-12-31,30,3461977.24,TRUE,TRUE
A3_trend_150_0.0_Central,trend_break,0.0,region=Central,2023-06-01,2024-12-31,36,3485717.33,TRUE,TRUE
A3_trend_151_0.0_Software Dev,trend_break,0.0,product=Software Dev,2023-06-01,2024-12-31,43,5550167.7299999995,TRUE,TRUE
A3_trend_152_0.0_Cloud Services,trend_break,0.0,product=Cloud Services,2023-06-01,2024-12-31,32,4649445.75,TRUE,TRUE
A3_trend_153_-0.01_North,trend_break,-0.01,region=North,2023-06-01,2024-12-31,38,5060319.76,TRUE,TRUE
A3_trend_154_-0.01_Central,trend_break,-0.01,region=Central,2023-06-01,2024-12-31,37,3507192.0300000003,TRUE,TRUE
A3_trend_155_-0.01_Software Dev,trend_break,-0.01,product=Software Dev,2023-06-01,2024-12-31,33,4342385.81,TRUE,TRUE
A3_trend_156_-0.01_Cloud Services,trend_break,-0.01,product=Cloud Services,2023-06-01,2024-12-31,22,2874124.33,TRUE,TRUE
A3_trend_157_0.015_North,trend_break,0.015,region=North,2024-03-01,2024-12-31,32,3969712.88,TRUE,TRUE
A3_trend_158_0.015_Central,trend_break,0.015,region=Central,2024-03-01,2024-12-31,41,3866324.12,TRUE,TRUE
A3_trend_159_0.015_Software Dev,trend_break,0.015,product=Software Dev,2024-03-01,2024-12-31,22,2982307.93,TRUE,TRUE
A3_trend_160_0.015_Cloud Services,trend_break,0.015,product=Cloud Services,2024-03-01,2024-12-31,30,3707500.0100000002,TRUE,TRUE
A3_trend_161_0.0_North,trend_break,0.0,region=North,2024-03-01,2024-12-31,25,3069131.75,TRUE,TRUE
A3_trend_162_0.0_Central,trend_break,0.0,region=Central,2024-03-01,2024-12-31,39,3603280.74,TRUE,TRUE
A3_trend_163_0.0_Software Dev,trend_break,0.0,product=Software Dev,2024-03-01,2024-12-31,27,3418946.59,TRUE,TRUE
A3_trend_164_0.0_Cloud Services,trend_break,0.0,product=Cloud Services,2024-03-01,2024-12-31,37,4668267.7,TRUE,TRUE
A3_trend_165_-0.01_North,trend_break,-0.01,region=North,2024-03-01,2024-12-31,29,3845945.14,TRUE,TRUE
A3_trend_166_-0.01_Central,trend_break,-0.01,region=Central,2024-03-01,2024-12-31,36,3092547.95,TRUE,TRUE
A3_trend_167_-0.01_Software Dev,trend_break,-0.01,product=Software Dev,2024-03-01,2024-12-31,23,3080307.53,TRUE,TRUE
A3_trend_168_-0.01_Cloud Services,trend_break,-0.01,product=Cloud Services,2024-03-01,2024-12-31,29,4003215.59,TRUE,TRUE
A4_dimlocal_169_20pct_North,dimension_local,0.2,region=North,2024-09-01,2024-12-31,23,2394983.9,TRUE,TRUE
A4_dimlocal_170_20pct_Central,dimension_local,0.2,region=Central,2024-09-01,2024-12-31,27,2169643.51,TRUE,TRUE
A4_dimlocal_171_20pct_Software Dev,dimension_local,0.2,product=Software Dev,2024-09-01,2024-12-31,28,3113535.94,TRUE,TRUE
A4_dimlocal_172_20pct_Cloud Services,dimension_local,0.2,product=Cloud Services,2024-09-01,2024-12-31,25,2462590.5,TRUE,TRUE
A4_dimlocal_173_30pct_North,dimension_local,0.3,region=North,2024-09-01,2024-12-31,13,1102706.84,TRUE,TRUE
A4_dimlocal_174_30pct_Central,dimension_local,0.3,region=Central,2024-09-01,2024-12-31,12,830241.25,TRUE,TRUE
A4_dimlocal_175_30pct_Software Dev,dimension_local,0.3,product=Software Dev,2024-09-01,2024-12-31,10,741116.11,TRUE,TRUE
A4_dimlocal_176_30pct_Cloud Services,dimension_local,0.3,product=Cloud Services,2024-09-01,2024-12-31,20,2089085.1500000001,TRUE,TRUE
A4_dimlocal_177_40pct_North,dimension_local,0.4,region=North,2024-09-01,2024-12-31,10,711094.49,TRUE,TRUE
A4_dimlocal_178_40pct_Central,dimension_local,0.4,region=Central,2024-09-01,2024-12-31,14,821710.65,TRUE,TRUE
A4_dimlocal_179_40pct_Software Dev,dimension_local,0.4,product=Software Dev,2024-09-01,2024-12-31,26,1982385.09,TRUE,TRUE
A4_dimlocal_180_40pct_Cloud Services,dimension_local,0.4,product=Cloud Services,2024-09-01,2024-12-31,12,913083.9400000001,TRUE,TRUE
A4_dimlocal_181_50pct_North,dimension_local,0.5,region=North,2024-09-01,2024-12-31,23,1549376.82,TRUE,TRUE
A4_dimlocal_182_50pct_Central,dimension_local,0.5,region=Central,2024-09-01,2024-12-31,29,1386674.14,TRUE,TRUE
A4_dimlocal_183_50pct_Software Dev,dimension_local,0.5,product=Software Dev,2024-09-01,2024-12-31,28,1827617.09,TRUE,TRUE
A4_dimlocal_184_50pct_Cloud Services,dimension_local,0.5,product=Cloud Services,2024-09-01,2024-12-31,12,614528.02,TRUE,TRUE
